,Location,Year,Location ISO,Recent Conflict
0,Haiti,1991,HTI,1
1,Haiti,1993,HTI,2
2,Haiti,1994,HTI,3
3,Haiti,2005,HTI,1
4,Mexico,2014,MEX,5
5,Guatemala,1989,GTM,5
6,Guatemala,1990,GTM,5
7,Guatemala,1991,GTM,5
8,Guatemala,1992,GTM,5
9,Guatemala,1993,GTM,5
10,Guatemala,1994,GTM,5
11,Guatemala,1995,GTM,5
12,Colombia,1990,COL,5
13,Colombia,1991,COL,5
28,Brazil,1993,BRA,0
29,Brazil,2005,BRA,4
30,Croatia,1993,HRV,1
44,Mali,1990,MLI,1
45,Mali,1991,MLI,1
46,Mali,1992,MLI,2
47,Mali,1994,MLI,3
48,Senegal,1998,SEN,3
50,Niger,1990,NER,1
51,Niger,1995,NER,4
52,Niger,1998,NER,3
58,Guinea,2007,GIN,0
59,Guinea,2009,GIN,1
60,Liberia,1990,LBR,1
61,Liberia,1999,LBR,3
62,Liberia,2000,LBR,3
63,Liberia,2001,LBR,3
64,Liberia,2002,LBR,3
65,Liberia,2003,LBR,4
66,Sierra Leone,1991,SLE,0
67,Sierra Leone,1994,SLE,3
68,Sierra Leone,1997,SLE,5
69,Sierra Leone,1998,SLE,5
70,Sierra Leone,1999,SLE,5
71,Togo,1991,TGO,1
72,Togo,1993,TGO,1
73,Togo,2005,TGO,0
75,Nigeria,1990,NGA,0
76,Nigeria,1994,NGA,4
77,Nigeria,1998,NGA,4
79,Nigeria,2001,NGA,5
80,Nigeria,2002,NGA,5
81,Nigeria,2003,NGA,5
82,Nigeria,2004,NGA,5
83,Nigeria,2008,NGA,5
84,Nigeria,2011,NGA,5
85,Nigeria,2012,NGA,5
86,Nigeria,2014,NGA,5
87,Nigeria,2015,NGA,5
89,Central African Republic,2006,CAF,2
90,Central African Republic,2007,CAF,2
91,Central African Republic,2013,CAF,5
93,Chad,1991,TCD,4
94,Chad,1992,TCD,4
95,Chad,1993,TCD,4
96,Chad,1994,TCD,5
97,Chad,1995,TCD,5
98,Chad,1998,TCD,4
99,Congo,1993,COG,0
100,Congo,1997,COG,1
101,Congo,1998,COG,2
102,Congo,1999,COG,2
122,Uganda,1990,UGA,5
123,Uganda,1991,UGA,5
125,Kenya,2007,KEN,3
126,Kenya,2008,KEN,4
128,Burundi,1995,BDI,3
129,Burundi,1996,BDI,4
130,Burundi,1997,BDI,4
131,Burundi,1998,BDI,4
132,Burundi,1999,BDI,5
133,Burundi,2000,BDI,5
134,Burundi,2002,BDI,5
135,Burundi,2003,BDI,5
136,Burundi,2004,BDI,5
137,Burundi,2005,BDI,5
138,Burundi,2015,BDI,0
139,Rwanda,1990,RWA,0
140,Rwanda,1991,RWA,1
141,Rwanda,1992,RWA,2
142,Rwanda,1993,RWA,3
146,Rwanda,1997,RWA,5
148,Somalia,1989,SOM,4
149,Somalia,1991,SOM,5
150,Somalia,2011,SOM,5
151,Somalia,2012,SOM,5
152,Ethiopia,1989,ETH,5
153,Ethiopia,1990,ETH,5
154,Ethiopia,1991,ETH,5
155,Ethiopia,1993,ETH,5
156,Ethiopia,2002,ETH,4
157,Ethiopia,2003,ETH,5
158,Ethiopia,2004,ETH,5
162,Ethiopia,2012,ETH,5
164,Angola,1997,AGO,5
165,Angola,1998,AGO,5
166,Angola,2003,AGO,5
170,South Africa,1991,ZAF,5
171,South Africa,1992,ZAF,5
172,South Africa,1993,ZAF,5
174,Niger,1989,NER,0
175,Libya,2011,LBY,0
176,Sudan,1989,SDN,5
177,Sudan,1990,SDN,5
178,Sudan,1991,SDN,5
179,Sudan,1992,SDN,5
180,Sudan,1993,SDN,5
181,Sudan,1994,SDN,5
182,Sudan,1995,SDN,5
183,Sudan,1996,SDN,5
184,Sudan,1997,SDN,5
185,Sudan,1998,SDN,5
186,Sudan,1999,SDN,5
187,Sudan,2000,SDN,5
188,Sudan,2001,SDN,5
189,Sudan,2002,SDN,5
190,Sudan,2003,SDN,5
191,Sudan,2004,SDN,5
194,Sudan,2007,SDN,5
195,Sudan,2008,SDN,5
196,Sudan,2011,SDN,5
199,Sudan,2014,SDN,5
200,Sudan,2015,SDN,5
201,South Sudan,2012,SSD,1
202,South Sudan,2013,SSD,2
203,South Sudan,2014,SSD,3
204,South Sudan,2015,SSD,4
208,Iraq,1993,IRQ,5
210,Iraq,1995,IRQ,5
212,Iraq,1999,IRQ,5
