DyadID,Year,Org,SideA,SideAID,SideAComponents,SideB,SideBID,SideBComponents,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,BestFatalityEstimate,LowFatalityEstimate,HighFatalityEstimate,Location,GWNOLocation,Region,Version
2-1,2007,1,1920 Revolution Brigades,1644,,IS,1076,,2007-02-09,1,2007-12-07,1,1,2007-12-07,1,25,25,25,Iraq,645,2,2.5-2016
2-10,2008,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,2008-12-02,1,2008-12-27,1,0,,0,64,54,66,Somalia,520,4,2.5-2016
2-10,2009,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,2008-12-02,1,2008-12-27,1,0,,0,548,500,633,Somalia,520,4,2.5-2016
2-10,2010,1,Ahlu Sunna Waljamaca,1761,,Al-Shabaab,1578,,2008-12-02,1,2008-12-27,1,1,2010-12-05,1,202,196,223,Somalia,520,4,2.5-2016
2-100,1992,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1992-12-13,2,0,,0,42,42,90,Kenya,501,4,2.5-2016
2-100,1993,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1992-12-13,2,0,,0,35,12,35,Kenya,501,4,2.5-2016
2-100,1994,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1992-12-13,2,1,1994-03-31,3,28,28,46,Kenya,501,4,2.5-2016
2-100,1998,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,1998-01-24,3,1,1998-01-25,1,127,127,127,Kenya,501,4,2.5-2016
2-100,2008,3,Kalenjin,1903,,Kikuyu,1795,,1991-12-27,1,2008-01-21,3,1,2008-12-31,5,78,78,95,Kenya,501,4,2.5-2016
2-102,2008,3,Kalenjin,1903,,Kisii,1796,,2008-02-03,1,2008-02-05,1,1,2008-02-05,1,81,81,81,Kenya,501,4,2.5-2016
2-10247,2013,3,Konianke,2130,,Kpelle,2026,,2013-07-15,1,2013-07-17,2,1,2013-07-17,2,98,98,98,Guinea,438,4,2.5-2016
2-103,2000,3,Kusasi,1941,,Mamprusi,1942,,2000-12-09,2,2000-12-09,2,0,,0,30,7,68,Ghana,452,4,2.5-2016
2-103,2001,3,Kusasi,1941,,Mamprusi,1942,,2000-12-09,2,2000-12-09,2,1,2001-12-04,2,50,50,50,Ghana,452,4,2.5-2016
2-103,2008,3,Kusasi,1941,,Mamprusi,1942,,2000-12-09,2,2008-06-21,1,1,2008-06-27,2,55,54,57,Ghana,452,4,2.5-2016
2-104,2008,1,Lashkar of Salarzai tribe,1657,,TTP,1199,,2008-08-28,1,2008-10-01,1,1,2008-10-04,1,34,34,40,Pakistan,770,3,2.5-2016
2-105,2006,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2006-05-31,5,0,,0,150,150,150,Sudan,625,4,2.5-2016
2-105,2007,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2006-05-31,5,1,2007-08-15,3,60,60,80,Sudan,625,4,2.5-2016
2-105,2009,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2009-03-13,3,1,2009-08-02,1,1195,1195,1195,Sudan,625,4,2.5-2016
2-105,2011,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2011-04-24,2,0,,0,1415,1415,1425,"South Sudan, Sudan","626, 625",4,2.5-2016
2-105,2012,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2011-04-24,2,0,,0,424,424,424,"South Sudan, Ethiopia","626, 530",4,2.5-2016
2-105,2013,3,Lou Nuer,1567,,Murle,1514,,2006-05-31,5,2011-04-24,2,1,2013-08-08,1,118,118,488,South Sudan,626,4,2.5-2016
2-106,2008,3,Hol Dinka,1767,,Lou Nuer,1567,,2008-05-17,1,2008-05-17,1,0,,0,31,31,36,Sudan,625,4,2.5-2016
